,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Toilets,   ,Bathrooms,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
292, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
293, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
294, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,, 10,,,,,
295, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
296, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
297, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
298, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
299, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
300, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
301, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
302, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
303, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
304, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
305, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
306, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
307, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
308, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
309, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
310, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
311, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
312, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
313, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
314, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
315, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,,, 120,,,,,
316, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
317, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
318, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
319, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
320, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
321, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
322, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
323, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
324, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
325, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
326, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
327, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
328, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
329, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
330, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
331, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
332, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
333, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
334, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
335, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
336, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, , 3, 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
337, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
338, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
339, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
340, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
341, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
342, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
343, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
344, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
345, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
346, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
347, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
348, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
349, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
350, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
351, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
352, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
353, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
354, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
355, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
356, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
357, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, , 3, 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
358, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
359, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
360, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
361, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
362, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
363, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
364, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
365, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
366, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
367, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
368, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
369, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
370, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
371, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
372, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
373, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
374, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
375, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
376, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
377, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
378, per annum,"900,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303787, 28 Apr 2022, 04 May 2022, Available,, 1,, 1,, Serviced," ₦150,000 per annum",,,
379, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
380, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
381, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
382, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
383, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
384, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
385, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
386, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
387, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
388, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
389, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
390, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
391, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
392, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
393, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
394, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
395, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
396, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
397, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
398, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
399, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
400, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
401, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
402, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
403, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
404, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
405, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
406, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
407, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
408, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
409, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
410, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
411, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
412, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
413, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
414, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
415, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
416, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
417, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
418, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
419, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
420, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available,, 5, ,, 30, Serviced," ₦240,000 per annum",,, Furnished
421, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
422, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
423, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
424, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
425, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
426, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
427, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
428, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
429, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
430, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
431, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
432, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
433, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
434, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
435, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
436, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
437, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
438, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
439, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
440, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
441, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
442, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
443, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
