,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Toilets,   ,Bathrooms,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
48, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
49, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
50, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
51, per annum,"15,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229185, 16 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦3,500,000 per annum",,,
52, per annum,"350,000", Mini Flat (Room and Parlour)," Ologede Estate, New Garage, Ibadan, Oyo", 1292334, 16 Apr 2022, 05 May 2022, Available, 1, 1,, 1, 5,,,,,
53, per annum,"20,000,000", Semi-detached Duplex," Banana Island, Ikoyi, Lagos", 1229922, 17 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 3, Serviced," ₦2,500,000 per annum",,,
54, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦5,000,000 per annum",,,
55, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦3,500,000 ",,,
56, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦840,000 per month",,,
57, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, , 4, 2, Serviced,,,,
58, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
59, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
60, per square meter / per annum,750, Office Space," Victoria Island (VI), Lagos", 1233945, 21 Feb 2022, 05 May 2022, Available,, 3,, 2, 2, Serviced,,,,
61, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 4, Serviced,,,,
62, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced,,,,
63, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available, 5, 6, ,,,,,,,
64, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
65, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
66, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
67, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
68, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
69, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
70, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
71, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
72, per annum,"15,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229185, 16 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦3,500,000 per annum",,,
73, per annum,"350,000", Mini Flat (Room and Parlour)," Ologede Estate, New Garage, Ibadan, Oyo", 1292334, 16 Apr 2022, 05 May 2022, Available, 1, 1,, 1, 5,,,,,
74, per annum,"20,000,000", Semi-detached Duplex," Banana Island, Ikoyi, Lagos", 1229922, 17 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 3, Serviced," ₦2,500,000 per annum",,,
75, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦5,000,000 per annum",,,
76, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦3,500,000 ",,,
77, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦840,000 per month",,,
78, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, , 4, 2, Serviced,,,,
79, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
80, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
81, per square meter / per annum,750, Office Space," Victoria Island (VI), Lagos", 1233945, 21 Feb 2022, 05 May 2022, Available,, 3,, 2, 2, Serviced,,,,
82, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 4, Serviced,,,,
83, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced,,,,
84, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 6, , 5,,,,,,
85, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
86, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
87, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
88, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
89, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
90, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
91, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
92, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
93, per annum,"15,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229185, 16 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦3,500,000 per annum",,,
94, per annum,"350,000", Mini Flat (Room and Parlour)," Ologede Estate, New Garage, Ibadan, Oyo", 1292334, 16 Apr 2022, 05 May 2022, Available, 1, 1,, 1, 5,,,,,
95, per annum,"20,000,000", Semi-detached Duplex," Banana Island, Ikoyi, Lagos", 1229922, 17 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 3, Serviced," ₦2,500,000 per annum",,,
96, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦5,000,000 per annum",,,
97, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦3,500,000 ",,,
98, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦840,000 per month",,,
99, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, , 4, 2, Serviced,,,,
100, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
101, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
102, per square meter / per annum,750, Office Space," Victoria Island (VI), Lagos", 1233945, 21 Feb 2022, 05 May 2022, Available,, 3,, 2, 2, Serviced,,,,
103, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 4, Serviced,,,,
104, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced,,,,
105, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available, 5, 6, ,,,,,,,
106, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
107, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
108, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
109, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
110, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
111, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
112, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
113, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
114, per annum,"15,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229185, 16 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦3,500,000 per annum",,,
115, per annum,"350,000", Mini Flat (Room and Parlour)," Ologede Estate, New Garage, Ibadan, Oyo", 1292334, 16 Apr 2022, 05 May 2022, Available, 1, 1,, 1, 5,,,,,
116, per annum,"20,000,000", Semi-detached Duplex," Banana Island, Ikoyi, Lagos", 1229922, 17 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 3, Serviced," ₦2,500,000 per annum",,,
117, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦5,000,000 per annum",,,
118, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦3,500,000 ",,,
119, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦840,000 per month",,,
120, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, , 4, 2, Serviced,,,,
121, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
122, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
123, per square meter / per annum,750, Office Space," Victoria Island (VI), Lagos", 1233945, 21 Feb 2022, 05 May 2022, Available,, 3,, 2, 2, Serviced,,,,
124, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 4, Serviced,,,,
