,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,Servicing,Service Charge,   ,Furnishing,Total Area,Covered Area
1046, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1311956, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2,,,,,,
1047, per annum,"3,000,000", Flat / Apartment," Oral Estate, Ikota, Lekki, Lagos", 1311951, 06 May 2022, 06 May 2022, Available, 3, 3, 3,, Serviced," ₦200,000 per annum", ,,,
1048, per annum,"13,000,000", Semi-detached Duplex," Maitama, Maitama District, Abuja", 1311947, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 4, Serviced," ₦3,000,000 per annum", ,,,
1049, per annum,"6,000,000", Semi-detached Duplex," Off Oba Akinjobi Str, Ikeja GRA, Ikeja, Lagos", 1277132, 01 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, ,,,
1050, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
1051, per annum,"2,500,000", Flat / Apartment," Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos", 1312009, 07 May 2022, 07 May 2022, Available, 2, 2, 3, 2,,,,,,
1052, per annum,"12,000,000", Semi-detached Duplex," Lekki Phase 1, Lekki, Lagos", 1290818, 15 Apr 2022, 28 Apr 2022, Available, 5, 5, 6, 8,,,,,,
1053, per annum,"5,000,000", Detached Duplex," Chevyview Estate Chevron, Lekki, Lagos", 1312000, 07 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1054, per annum,"9,000,000", Flat / Apartment," Off Oba Adeyinka Avenue, Ikoyi, Lagos", 1311992, 07 May 2022, 07 May 2022, Available, 3, 3, 4,, Serviced," ₦3,000,000 ", ,,,
1055, per annum,"10,000,000", Flat / Apartment," Off Alfred Rewane Road, Ikoyi, Lagos", 1311981, 07 May 2022, 07 May 2022, Available, 4, 4, 5,, Serviced," ₦3,000,000 ", ,,,
1056, per annum,"2,500,000", Terraced Duplex," 2nd Toll Gate, Lekki, Lagos", 1311466, 06 May 2022, 06 May 2022, Available, 2, 2, 3,, Serviced,,,,,
1057, per annum,"4,000,000", Semi-detached Duplex," 2nd Toll Gate, Lekki, Lagos", 1311410, 06 May 2022, 06 May 2022, Available, 4, 4, 5,,,, ,,,
1058, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,,,, ,,,
1059, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
1060, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
1061, per annum,"500,000", Mini Flat (Room and Parlour)," Boundary Road, Very Close To Major Express Way, Imalete Alafia, Ibeju Lekki, Lagos", 1311974, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 8,,,, Furnished, 750 sqm, 400 sqm
1062, per annum,"12,000,000", Flat / Apartment," Wuse2, Wuse 2, Abuja", 1311975, 06 May 2022, 07 May 2022, Available, 3, 3, 4, 4, Serviced," ₦2,000,000 per annum", ,,,
1063, per annum,"500,000", Mini Flat (Room and Parlour)," Military Estate Eleko Junction, Eleko, Ibeju Lekki, Lagos", 1311878, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 15,,,, Furnished, 700 sqm, 350 sqm
1064, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 1,,, ,, 150 sqm, 100 sqm
1065, per annum,"9,000,000", Semi-detached Duplex," Ikeja G.r.a, Ikeja GRA, Ikeja, Lagos", 1311962, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1066, per annum,"2,300,000", Terraced Duplex," Sandworth Homes Estate, Jerry Nwakobi Strret, Abraham Adesanya, Ajah, Lagos", 1149923, 24 Nov 2021, 06 May 2022, Available, 4,, 5, 3,,, ,,,
1067, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1311956, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2,,,,,,
1068, per annum,"3,000,000", Flat / Apartment," Oral Estate, Ikota, Lekki, Lagos", 1311951, 06 May 2022, 06 May 2022, Available, 3, 3, 3,, Serviced," ₦200,000 per annum", ,,,
1069, per annum,"13,000,000", Semi-detached Duplex," Maitama, Maitama District, Abuja", 1311947, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 4, Serviced," ₦3,000,000 per annum", ,,,
1070, per annum,"6,000,000", Semi-detached Duplex," Off Oba Akinjobi Str, Ikeja GRA, Ikeja, Lagos", 1277132, 01 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, ,,,
1071, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
1072, per annum,"2,500,000", Flat / Apartment," Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos", 1312009, 07 May 2022, 07 May 2022, Available, 2, 2, 3, 2,,,,,,
1073, per annum,"12,000,000", Semi-detached Duplex," Lekki Phase 1, Lekki, Lagos", 1290818, 15 Apr 2022, 28 Apr 2022, Available, 5, 5, 6, 8,,,,,,
1074, per annum,"5,000,000", Detached Duplex," Chevyview Estate Chevron, Lekki, Lagos", 1312000, 07 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1075, per annum,"9,000,000", Flat / Apartment," Off Oba Adeyinka Avenue, Ikoyi, Lagos", 1311992, 07 May 2022, 07 May 2022, Available, 3, 3, 4,, Serviced," ₦3,000,000 ", ,,,
1076, per annum,"10,000,000", Flat / Apartment," Off Alfred Rewane Road, Ikoyi, Lagos", 1311981, 07 May 2022, 07 May 2022, Available, 4, 4, 5,, Serviced," ₦3,000,000 ", ,,,
1077, per annum,"2,500,000", Terraced Duplex," 2nd Toll Gate, Lekki, Lagos", 1311466, 06 May 2022, 06 May 2022, Available, 2, 2, 3,, Serviced,,,,,
1078, per annum,"4,000,000", Semi-detached Duplex," 2nd Toll Gate, Lekki, Lagos", 1311410, 06 May 2022, 06 May 2022, Available, 4, 4, 5,,,, ,,,
1079, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,,,, ,,,
1080, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
1081, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
1082, per annum,"500,000", Mini Flat (Room and Parlour)," Boundary Road, Very Close To Major Express Way, Imalete Alafia, Ibeju Lekki, Lagos", 1311974, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 8,,,, Furnished, 750 sqm, 400 sqm
1083, per annum,"12,000,000", Flat / Apartment," Wuse2, Wuse 2, Abuja", 1311975, 06 May 2022, 07 May 2022, Available, 3, 3, 4, 4, Serviced," ₦2,000,000 per annum", ,,,
1084, per annum,"500,000", Mini Flat (Room and Parlour)," Military Estate Eleko Junction, Eleko, Ibeju Lekki, Lagos", 1311878, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 15,,,, Furnished, 700 sqm, 350 sqm
1085, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 1,,, ,, 150 sqm, 100 sqm
1086, per annum,"9,000,000", Semi-detached Duplex," Ikeja G.r.a, Ikeja GRA, Ikeja, Lagos", 1311962, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1087, per annum,"2,300,000", Terraced Duplex," Sandworth Homes Estate, Jerry Nwakobi Strret, Abraham Adesanya, Ajah, Lagos", 1149923, 24 Nov 2021, 06 May 2022, Available, 4,, 5, 3,,, ,,,
1088, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1311956, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2,,,,,,
1089, per annum,"3,000,000", Flat / Apartment," Oral Estate, Ikota, Lekki, Lagos", 1311951, 06 May 2022, 06 May 2022, Available, 3, 3, 3,, Serviced," ₦200,000 per annum", ,,,
1090, per annum,"13,000,000", Semi-detached Duplex," Maitama, Maitama District, Abuja", 1311947, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 4, Serviced," ₦3,000,000 per annum", ,,,
1091, per annum,"6,000,000", Semi-detached Duplex," Off Oba Akinjobi Str, Ikeja GRA, Ikeja, Lagos", 1277132, 01 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, ,,,
1092, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,, 120,,,,,,
1093, per annum,"2,500,000", Flat / Apartment," Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos", 1312009, 07 May 2022, 07 May 2022, Available, 2, 2, 3, 2,,,,,,
1094, per annum,"12,000,000", Semi-detached Duplex," Lekki Phase 1, Lekki, Lagos", 1290818, 15 Apr 2022, 28 Apr 2022, Available, 5, 5, 6, 8,,,,,,
1095, per annum,"5,000,000", Detached Duplex," Chevyview Estate Chevron, Lekki, Lagos", 1312000, 07 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1096, per annum,"9,000,000", Flat / Apartment," Off Oba Adeyinka Avenue, Ikoyi, Lagos", 1311992, 07 May 2022, 07 May 2022, Available, 3, 3, 4,, Serviced," ₦3,000,000 ", ,,,
1097, per annum,"10,000,000", Flat / Apartment," Off Alfred Rewane Road, Ikoyi, Lagos", 1311981, 07 May 2022, 07 May 2022, Available, 4, 4, 5,, Serviced," ₦3,000,000 ", ,,,
1098, per annum,"2,500,000", Terraced Duplex," 2nd Toll Gate, Lekki, Lagos", 1311466, 06 May 2022, 06 May 2022, Available, 2, 2, 3,, Serviced,,,,,
1099, per annum,"4,000,000", Semi-detached Duplex," 2nd Toll Gate, Lekki, Lagos", 1311410, 06 May 2022, 06 May 2022, Available, 4, 4, 5,,,, ,,,
1100, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,,,, ,,,
1101, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
1102, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
1103, per annum,"500,000", Mini Flat (Room and Parlour)," Boundary Road, Very Close To Major Express Way, Imalete Alafia, Ibeju Lekki, Lagos", 1311974, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 8,,,, Furnished, 750 sqm, 400 sqm
1104, per annum,"12,000,000", Flat / Apartment," Wuse2, Wuse 2, Abuja", 1311975, 06 May 2022, 07 May 2022, Available, 3, 3, 4, 4, Serviced," ₦2,000,000 per annum", ,,,
1105, per annum,"500,000", Mini Flat (Room and Parlour)," Military Estate Eleko Junction, Eleko, Ibeju Lekki, Lagos", 1311878, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 15,,,, Furnished, 700 sqm, 350 sqm
1106, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 1,,, ,, 150 sqm, 100 sqm
1107, per annum,"9,000,000", Semi-detached Duplex," Ikeja G.r.a, Ikeja GRA, Ikeja, Lagos", 1311962, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1108, per annum,"2,300,000", Terraced Duplex," Sandworth Homes Estate, Jerry Nwakobi Strret, Abraham Adesanya, Ajah, Lagos", 1149923, 24 Nov 2021, 06 May 2022, Available, 4,, 5, 3,,, ,,,
1109, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1311956, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2,,,,,,
1110, per annum,"3,000,000", Flat / Apartment," Oral Estate, Ikota, Lekki, Lagos", 1311951, 06 May 2022, 06 May 2022, Available, 3, 3, 3,, Serviced," ₦200,000 per annum", ,,,
1111, per annum,"13,000,000", Semi-detached Duplex," Maitama, Maitama District, Abuja", 1311947, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 4, Serviced," ₦3,000,000 per annum", ,,,
1112, per annum,"6,000,000", Semi-detached Duplex," Off Oba Akinjobi Str, Ikeja GRA, Ikeja, Lagos", 1277132, 01 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, ,,,
1113, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 5, 6,,,, ,,,
1114, per annum,"2,500,000", Flat / Apartment," Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos", 1312009, 07 May 2022, 07 May 2022, Available, 2, 2, 3, 2,,,,,,
1115, per annum,"12,000,000", Semi-detached Duplex," Lekki Phase 1, Lekki, Lagos", 1290818, 15 Apr 2022, 28 Apr 2022, Available, 5, 5, 6, 8,,,,,,
1116, per annum,"5,000,000", Detached Duplex," Chevyview Estate Chevron, Lekki, Lagos", 1312000, 07 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1117, per annum,"9,000,000", Flat / Apartment," Off Oba Adeyinka Avenue, Ikoyi, Lagos", 1311992, 07 May 2022, 07 May 2022, Available, 3, 3, 4,, Serviced," ₦3,000,000 ", ,,,
1118, per annum,"10,000,000", Flat / Apartment," Off Alfred Rewane Road, Ikoyi, Lagos", 1311981, 07 May 2022, 07 May 2022, Available, 4, 4, 5,, Serviced," ₦3,000,000 ", ,,,
1119, per annum,"2,500,000", Terraced Duplex," 2nd Toll Gate, Lekki, Lagos", 1311466, 06 May 2022, 06 May 2022, Available, 2, 2, 3,, Serviced,,,,,
1120, per annum,"4,000,000", Semi-detached Duplex," 2nd Toll Gate, Lekki, Lagos", 1311410, 06 May 2022, 06 May 2022, Available, 4, 4, 5,,,, ,,,
1121, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,,,, ,,,
1122, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
1123, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
1124, per annum,"500,000", Mini Flat (Room and Parlour)," Boundary Road, Very Close To Major Express Way, Imalete Alafia, Ibeju Lekki, Lagos", 1311974, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 8,,,, Furnished, 750 sqm, 400 sqm
1125, per annum,"12,000,000", Flat / Apartment," Wuse2, Wuse 2, Abuja", 1311975, 06 May 2022, 07 May 2022, Available, 3, 3, 4, 4, Serviced," ₦2,000,000 per annum", ,,,
1126, per annum,"500,000", Mini Flat (Room and Parlour)," Military Estate Eleko Junction, Eleko, Ibeju Lekki, Lagos", 1311878, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 15,,,, Furnished, 700 sqm, 350 sqm
1127, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 1,,, ,, 150 sqm, 100 sqm
1128, per annum,"9,000,000", Semi-detached Duplex," Ikeja G.r.a, Ikeja GRA, Ikeja, Lagos", 1311962, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1129, per annum,"2,300,000", Terraced Duplex," Sandworth Homes Estate, Jerry Nwakobi Strret, Abraham Adesanya, Ajah, Lagos", 1149923, 24 Nov 2021, 06 May 2022, Available, 4,, 5, 3,,, ,,,
1130, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1311956, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2,,,,,,
1131, per annum,"3,000,000", Flat / Apartment," Oral Estate, Ikota, Lekki, Lagos", 1311951, 06 May 2022, 06 May 2022, Available, 3, 3, 3,, Serviced," ₦200,000 per annum", ,,,
1132, per annum,"13,000,000", Semi-detached Duplex," Maitama, Maitama District, Abuja", 1311947, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 4, Serviced," ₦3,000,000 per annum", ,,,
1133, per annum,"6,000,000", Semi-detached Duplex," Off Oba Akinjobi Str, Ikeja GRA, Ikeja, Lagos", 1277132, 01 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, ,,,
1134, per annum,"6,000,000", Flat / Apartment," Dideolu Estate, Off Ligali Ayorinde, Victoria Island (VI), Lagos", 838601, 22 Jan 2021, 05 May 2022, Available, 3, 3, 4, 2, Serviced," ₦2,500,000 per annum", ,,,
1135, per annum,"2,500,000", Flat / Apartment," Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos", 1312009, 07 May 2022, 07 May 2022, Available, 2, 2, 3, 2,,,,,,
1136, per annum,"12,000,000", Semi-detached Duplex," Lekki Phase 1, Lekki, Lagos", 1290818, 15 Apr 2022, 28 Apr 2022, Available, 5, 5, 6, 8,,,,,,
1137, per annum,"5,000,000", Detached Duplex," Chevyview Estate Chevron, Lekki, Lagos", 1312000, 07 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1138, per annum,"9,000,000", Flat / Apartment," Off Oba Adeyinka Avenue, Ikoyi, Lagos", 1311992, 07 May 2022, 07 May 2022, Available, 3, 3, 4,, Serviced," ₦3,000,000 ", ,,,
1139, per annum,"10,000,000", Flat / Apartment," Off Alfred Rewane Road, Ikoyi, Lagos", 1311981, 07 May 2022, 07 May 2022, Available, 4, 4, 5,, Serviced," ₦3,000,000 ", ,,,
1140, per annum,"2,500,000", Terraced Duplex," 2nd Toll Gate, Lekki, Lagos", 1311466, 06 May 2022, 06 May 2022, Available, 2, 2, 3,, Serviced,,,,,
1141, per annum,"4,000,000", Semi-detached Duplex," 2nd Toll Gate, Lekki, Lagos", 1311410, 06 May 2022, 06 May 2022, Available, 4, 4, 5,,,, ,,,
1142, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,,,, ,,,
1143, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
1144, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
1145, per annum,"500,000", Mini Flat (Room and Parlour)," Boundary Road, Very Close To Major Express Way, Imalete Alafia, Ibeju Lekki, Lagos", 1311974, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 8,,,, Furnished, 750 sqm, 400 sqm
1146, per annum,"12,000,000", Flat / Apartment," Wuse2, Wuse 2, Abuja", 1311975, 06 May 2022, 07 May 2022, Available, 3, 3, 4, 4, Serviced," ₦2,000,000 per annum", ,,,
1147, per annum,"500,000", Mini Flat (Room and Parlour)," Military Estate Eleko Junction, Eleko, Ibeju Lekki, Lagos", 1311878, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 15,,,, Furnished, 700 sqm, 350 sqm
1148, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 1,,, ,, 150 sqm, 100 sqm
1149, per annum,"9,000,000", Semi-detached Duplex," Ikeja G.r.a, Ikeja GRA, Ikeja, Lagos", 1311962, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1150, per annum,"2,300,000", Terraced Duplex," Sandworth Homes Estate, Jerry Nwakobi Strret, Abraham Adesanya, Ajah, Lagos", 1149923, 24 Nov 2021, 06 May 2022, Available, 4,, 5, 3,,, ,,,
1151, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1311956, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2,,,,,,
1152, per annum,"3,000,000", Flat / Apartment," Oral Estate, Ikota, Lekki, Lagos", 1311951, 06 May 2022, 06 May 2022, Available, 3, 3, 3,, Serviced," ₦200,000 per annum", ,,,
1153, per annum,"13,000,000", Semi-detached Duplex," Maitama, Maitama District, Abuja", 1311947, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 4, Serviced," ₦3,000,000 per annum", ,,,
1154, per annum,"6,000,000", Semi-detached Duplex," Off Oba Akinjobi Str, Ikeja GRA, Ikeja, Lagos", 1277132, 01 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, ,,,
1155, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
1156, per annum,"2,500,000", Flat / Apartment," Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos", 1312009, 07 May 2022, 07 May 2022, Available, 2, 2, 3, 2,,,,,,
1157, per annum,"12,000,000", Semi-detached Duplex," Lekki Phase 1, Lekki, Lagos", 1290818, 15 Apr 2022, 28 Apr 2022, Available, 5, 5, 6, 8,,,,,,
1158, per annum,"5,000,000", Detached Duplex," Chevyview Estate Chevron, Lekki, Lagos", 1312000, 07 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1159, per annum,"9,000,000", Flat / Apartment," Off Oba Adeyinka Avenue, Ikoyi, Lagos", 1311992, 07 May 2022, 07 May 2022, Available, 3, 3, 4,, Serviced," ₦3,000,000 ", ,,,
1160, per annum,"10,000,000", Flat / Apartment," Off Alfred Rewane Road, Ikoyi, Lagos", 1311981, 07 May 2022, 07 May 2022, Available, 4, 4, 5,, Serviced," ₦3,000,000 ", ,,,
1161, per annum,"2,500,000", Terraced Duplex," 2nd Toll Gate, Lekki, Lagos", 1311466, 06 May 2022, 06 May 2022, Available, 2, 2, 3,, Serviced,,,,,
1162, per annum,"4,000,000", Semi-detached Duplex," 2nd Toll Gate, Lekki, Lagos", 1311410, 06 May 2022, 06 May 2022, Available, 4, 4, 5,,,, ,,,
1163, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,,,, ,,,
1164, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
1165, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
1166, per annum,"500,000", Mini Flat (Room and Parlour)," Boundary Road, Very Close To Major Express Way, Imalete Alafia, Ibeju Lekki, Lagos", 1311974, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 8,,,, Furnished, 750 sqm, 400 sqm
1167, per annum,"12,000,000", Flat / Apartment," Wuse2, Wuse 2, Abuja", 1311975, 06 May 2022, 07 May 2022, Available, 3, 3, 4, 4, Serviced," ₦2,000,000 per annum", ,,,
1168, per annum,"500,000", Mini Flat (Room and Parlour)," Military Estate Eleko Junction, Eleko, Ibeju Lekki, Lagos", 1311878, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 15,,,, Furnished, 700 sqm, 350 sqm
1169, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 1,,, ,, 150 sqm, 100 sqm
1170, per annum,"9,000,000", Semi-detached Duplex," Ikeja G.r.a, Ikeja GRA, Ikeja, Lagos", 1311962, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1171, per annum,"2,300,000", Terraced Duplex," Sandworth Homes Estate, Jerry Nwakobi Strret, Abraham Adesanya, Ajah, Lagos", 1149923, 24 Nov 2021, 06 May 2022, Available, 4,, 5, 3,,, ,,,
1172, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1311956, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2,,,,,,
1173, per annum,"3,000,000", Flat / Apartment," Oral Estate, Ikota, Lekki, Lagos", 1311951, 06 May 2022, 06 May 2022, Available, 3, 3, 3,, Serviced," ₦200,000 per annum", ,,,
1174, per annum,"13,000,000", Semi-detached Duplex," Maitama, Maitama District, Abuja", 1311947, 06 May 2022, 07 May 2022, Available, 5, 5, 6, 4, Serviced," ₦3,000,000 per annum", ,,,
1175, per annum,"6,000,000", Semi-detached Duplex," Off Oba Akinjobi Str, Ikeja GRA, Ikeja, Lagos", 1277132, 01 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, ,,,
1176, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
1177, per annum,"2,500,000", Flat / Apartment," Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos", 1312009, 07 May 2022, 07 May 2022, Available, 2, 2, 3, 2,,,,,,
1178, per annum,"12,000,000", Semi-detached Duplex," Lekki Phase 1, Lekki, Lagos", 1290818, 15 Apr 2022, 28 Apr 2022, Available, 5, 5, 6, 8,,,,,,
1179, per annum,"5,000,000", Detached Duplex," Chevyview Estate Chevron, Lekki, Lagos", 1312000, 07 May 2022, 07 May 2022, Available, 5, 5, 6, 5,,,,,,
1180, per annum,"9,000,000", Flat / Apartment," Off Oba Adeyinka Avenue, Ikoyi, Lagos", 1311992, 07 May 2022, 07 May 2022, Available, 3, 3, 4,, Serviced," ₦3,000,000 ", ,,,
1181, per annum,"10,000,000", Flat / Apartment," Off Alfred Rewane Road, Ikoyi, Lagos", 1311981, 07 May 2022, 07 May 2022, Available, 4, 4, 5,, Serviced," ₦3,000,000 ", ,,,
1182, per annum,"2,500,000", Terraced Duplex," 2nd Toll Gate, Lekki, Lagos", 1311466, 06 May 2022, 06 May 2022, Available, 2, 2, 3,, Serviced,,,,,
1183, per annum,"4,000,000", Semi-detached Duplex," 2nd Toll Gate, Lekki, Lagos", 1311410, 06 May 2022, 06 May 2022, Available, 4, 4, 5,,,, ,,,
1184, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,,,, ,,,
1185, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
1186, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
1187, per annum,"500,000", Mini Flat (Room and Parlour)," Boundary Road, Very Close To Major Express Way, Imalete Alafia, Ibeju Lekki, Lagos", 1311974, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 8,,,, Furnished, 750 sqm, 400 sqm
1188, per annum,"12,000,000", Flat / Apartment," Wuse2, Wuse 2, Abuja", 1311975, 06 May 2022, 07 May 2022, Available, 3, 3, 4, 4, Serviced," ₦2,000,000 per annum", ,,,
1189, per annum,"500,000", Mini Flat (Room and Parlour)," Military Estate Eleko Junction, Eleko, Ibeju Lekki, Lagos", 1311878, 06 May 2022, 06 May 2022, Available, 1, 1, 2, 15,,,, Furnished, 700 sqm, 350 sqm
