,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Parking Spaces,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Total Area,Covered Area,Furnishing
3834, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
3835, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
3836, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
3837, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3838, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
3839, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
3840, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
3841, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
3842, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
3843, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
3844, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
3845, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
3846, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
3847, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
3848, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
3849, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
3850, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3851, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3852, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
3853, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
3854, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
3855, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
3856, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
3857, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
3858, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3859, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
3860, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
3861, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
3862, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
3863, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
3864, per annum,"6,000,000", Flat / Apartment," Dideolu Estate, Off Ligali Ayorinde, Victoria Island (VI), Lagos", 838601, 22 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
3865, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
3866, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
3867, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
3868, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
3869, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
3870, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
3871, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3872, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3873, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
3874, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
3875, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
3876, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
3877, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
3878, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
3879, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3880, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
3881, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
3882, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
3883, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
3884, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
3885, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available, 30,,, 5, , Serviced," ₦240,000 per annum",,, Furnished
3886, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
3887, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
3888, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
3889, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
3890, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
3891, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
3892, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3893, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3894, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
3895, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
3896, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
3897, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
3898, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
3899, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
3900, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3901, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
3902, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
3903, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
3904, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
3905, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
3906, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available, 10,,,,,,,,,
3907, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
3908, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
3909, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
3910, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
3911, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
3912, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
3913, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3914, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3915, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
3916, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
3917, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
3918, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
3919, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
3920, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
3921, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3922, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
3923, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
3924, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
3925, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
3926, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
3927, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available, 120,,,,,,,,,
3928, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
3929, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
3930, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
3931, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
3932, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
3933, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
3934, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3935, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3936, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
3937, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
3938, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
3939, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
3940, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
3941, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
3942, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3943, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
3944, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
3945, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
3946, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
3947, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
3948, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available, 120,,,,,,,,,
3949, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
3950, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
3951, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
3952, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
3953, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
3954, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
3955, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3956, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3957, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
3958, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
3959, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
3960, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
3961, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
3962, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
3963, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3964, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
3965, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
3966, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
3967, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
3968, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
3969, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available, 10,,,,,,,,,
3970, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
3971, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
3972, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
3973, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
3974, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
3975, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
3976, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
3977, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
3978, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
