,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Parking Spaces,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Total Area,Covered Area,Furnishing
57, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
58, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
59, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
60, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
61, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
62, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
63, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
64, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
65, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
66, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
67, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
68, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
69, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
70, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
71, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
72, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
73, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
74, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
75, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
76, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
77, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
78, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
79, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
80, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
81, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
82, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
83, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
84, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
85, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
86, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
87, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
88, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
89, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
90, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
91, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
92, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
93, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
94, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
95, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
96, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
97, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
98, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
99, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
100, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
101, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
102, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
103, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
104, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
105, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available,, 5, 5, 6, ,,,,,
106, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
107, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
108, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
109, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
110, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
111, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
112, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
113, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
114, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
115, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
116, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
117, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
118, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
119, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
120, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
121, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
122, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
123, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
