,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,   ,Servicing,Service Charge,Furnishing,Total Area,Covered Area
136, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
137, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
138, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
139, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
140, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
141, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
142, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
143, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
144, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
145, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
146, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
147, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4, 2,,,,,,
148, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
149, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
150, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
