,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,Servicing,Service Charge,   ,Total Area,Covered Area,Furnishing
139, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
140, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
141, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
142, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
143, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
144, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
145, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
146, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
147, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available,,, 5, 30, Serviced," ₦240,000 per annum", ,,, Furnished
148, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
149, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
150, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
151, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
152, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
153, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
154, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
155, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
156, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
157, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
158, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
159, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
160, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
161, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
162, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
163, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
164, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
165, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
166, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
167, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
168, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, 1, 1, Serviced," ₦150,000 per annum", ,,,
169, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
170, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
171, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
172, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
173, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
174, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
175, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
176, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
177, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
178, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
179, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
180, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
181, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
182, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
183, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
184, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
185, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
186, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
187, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
188, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
189, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303789, 28 Apr 2022, 05 May 2022, Available,, 4, 1,, Serviced," ₦150,000 per annum",,,,
190, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
191, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
192, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
193, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
194, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
195, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
196, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
197, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
198, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
199, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
200, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
201, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
202, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
203, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
204, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
205, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
206, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
207, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
208, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
209, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
210, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4, 2,,,,,,
211, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
212, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
213, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
214, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
215, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
216, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
217, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
218, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
219, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
220, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
221, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
222, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
223, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
224, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
225, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
226, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
227, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
228, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
229, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
230, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
231, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
232, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
233, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
234, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
235, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
236, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
237, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
238, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
239, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
240, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
241, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
242, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
243, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
244, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
245, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
246, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
247, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
248, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
249, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
250, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
251, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
252, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4, 2,,,,,,
253, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
254, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
255, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
256, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
257, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
258, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
259, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
260, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
261, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
262, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
263, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
264, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
265, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
266, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
267, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
268, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
269, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
270, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
271, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
272, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
273, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303784, 28 Apr 2022, 04 May 2022, Available,, 1, 1, 1, Serviced," ₦150,000 per annum", ,,,
274, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
275, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
276, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
277, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
278, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
279, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
