,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,   ,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
261, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
262, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
263, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
264, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
265, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
266, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
267, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
268, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
269, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
270, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
271, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
272, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
273, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, 1, , 1, Serviced," ₦150,000 per annum",,,
274, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
275, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
276, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
277, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
278, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
279, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
280, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
281, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
282, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
283, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
284, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
285, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
286, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
287, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
288, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
289, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
290, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
291, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
292, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
293, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
294, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303789, 28 Apr 2022, 05 May 2022, Available,, 4, 1,,, Serviced," ₦150,000 per annum",,,
295, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
296, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
297, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
298, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
299, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
300, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
301, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
302, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
303, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
304, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
305, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
306, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
307, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
308, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
309, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
310, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
311, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
312, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
313, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
314, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
315, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,, 10,,,,,
316, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
317, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
318, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
319, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
320, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
321, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
322, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
323, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
324, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
325, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
326, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
327, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
328, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
329, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
330, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
331, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
332, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
333, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
334, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
335, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
336, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,,, 120,,,,,
337, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
338, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
339, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
340, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
341, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
342, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
343, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
344, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
345, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
346, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
347, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
348, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
349, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
350, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
351, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
352, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
353, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
354, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
355, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
356, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
357, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 3, 4, , 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
358, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
359, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
360, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
361, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
362, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
363, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
364, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
365, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
366, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
367, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
368, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
369, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
370, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
371, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
372, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
373, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
374, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
375, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
376, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
377, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
378, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,,, 120,,,,,
379, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
380, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
381, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
382, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
383, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
384, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
385, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
386, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
387, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
388, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
389, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
390, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
391, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
392, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
393, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
394, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
395, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
396, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
397, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
398, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
399, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available,,, 5, , 30, Serviced," ₦240,000 per annum",,, Furnished
400, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
