,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bathrooms,Toilets,Parking Spaces,Servicing,Service Charge,   ,Bedrooms,Total Area,Covered Area,Furnishing
92, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, 2, Serviced,, , 4,,,
93, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
94, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
95, per square meter / per annum,750, Office Space," Victoria Island (VI), Lagos", 1233945, 21 Feb 2022, 05 May 2022, Available, 2, 3, 2, Serviced,,,,,,
96, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, 4, Serviced,, , 4,,,
97, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced,, , 3,,,
98, per annum,"18,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1234292, 21 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
99, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1237330, 23 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced," ₦4,000,000 per annum", , 4,,,
100, per annum,"13,000,000", Terraced Duplex," Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1238629, 24 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced," ₦4,500,000 per annum", , 4,,,
101, per annum,"1,500,000", Flat / Apartment," Off Bus Stop Surulere Lagos, Kilo, Surulere, Lagos", 1310249, 05 May 2022, 05 May 2022, Available, 3, 4, 2,,,, 3,,,
102, per annum,"5,500,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310248, 05 May 2022, 05 May 2022, Available, 4, 5,, Serviced," ₦60,000 per month", , 4,,,
103, per annum,"4,500,000", Flat / Apartment," Elf, Whitesand School Road, Lekki, Lagos", 1310243, 05 May 2022, 05 May 2022, Available, 2, 3, 2, Serviced," ₦1,800,000 per annum", , 2,,,
104, per annum,"20,000,000", Terraced Duplex," Banana Island, Ikoyi, Lagos", 1240624, 26 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
105, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, 1, Serviced," ₦800,000 per annum", , 3, 400 sqm, 280 sqm, Furnished
